case_id,series_id,offender_id,label_basis,data_kind
SYN-IN-0000-00,SYN-SERIES-0000,SYN-OFFENDER-0000,generator_latent_group_not_police_evidence,synthetic
SYN-IN-0000-01,SYN-SERIES-0000,SYN-OFFENDER-0000,generator_latent_group_not_police_evidence,synthetic
SYN-IN-0000-02,SYN-SERIES-0000,SYN-OFFENDER-0000,generator_latent_group_not_police_evidence,synthetic
SYN-IN-0000-03,SYN-SERIES-0000,SYN-OFFENDER-0000,generator_latent_group_not_police_evidence,synthetic
SYN-IN-0000-04,SYN-SERIES-0000,SYN-OFFENDER-0000,generator_latent_group_not_police_evidence,synthetic
SYN-IN-0000-05,SYN-SERIES-0000,SYN-OFFENDER-0000,generator_latent_group_not_police_evidence,synthetic
SYN-IN-0001-00,SYN-SERIES-0001,SYN-OFFENDER-0001,generator_latent_group_not_police_evidence,synthetic
SYN-IN-0001-01,SYN-SERIES-0001,SYN-OFFENDER-0001,generator_latent_group_not_police_evidence,synthetic
SYN-IN-0001-02,SYN-SERIES-0001,SYN-OFFENDER-0001,generator_latent_group_not_police_evidence,synthetic
SYN-IN-0001-03,SYN-SERIES-0001,SYN-OFFENDER-0001,generator_latent_group_not_police_evidence,synthetic
SYN-IN-0001-04,SYN-SERIES-0001,SYN-OFFENDER-0001,generator_latent_group_not_police_evidence,synthetic
SYN-IN-0001-05,SYN-SERIES-0001,SYN-OFFENDER-0001,generator_latent_group_not_police_evidence,synthetic
SYN-IN-0002-00,SYN-SERIES-0002,SYN-OFFENDER-0002,generator_latent_group_not_police_evidence,synthetic
SYN-IN-0002-01,SYN-SERIES-0002,SYN-OFFENDER-0002,generator_latent_group_not_police_evidence,synthetic
SYN-IN-0002-02,SYN-SERIES-0002,SYN-OFFENDER-0002,generator_latent_group_not_police_evidence,synthetic
SYN-IN-0002-03,SYN-SERIES-0002,SYN-OFFENDER-0002,generator_latent_group_not_police_evidence,synthetic
