case_id,split,group_id,data_kind
SYN-IN-0000-00,train,SYN-OFFENDER-0000,synthetic
SYN-IN-0000-01,train,SYN-OFFENDER-0000,synthetic
SYN-IN-0000-02,train,SYN-OFFENDER-0000,synthetic
SYN-IN-0000-03,train,SYN-OFFENDER-0000,synthetic
SYN-IN-0000-04,train,SYN-OFFENDER-0000,synthetic
SYN-IN-0000-05,train,SYN-OFFENDER-0000,synthetic
SYN-IN-0001-00,train,SYN-OFFENDER-0001,synthetic
SYN-IN-0001-01,train,SYN-OFFENDER-0001,synthetic
SYN-IN-0001-02,train,SYN-OFFENDER-0001,synthetic
SYN-IN-0001-03,train,SYN-OFFENDER-0001,synthetic
SYN-IN-0001-04,train,SYN-OFFENDER-0001,synthetic
SYN-IN-0001-05,train,SYN-OFFENDER-0001,synthetic
SYN-IN-0002-00,validation,SYN-OFFENDER-0002,synthetic
SYN-IN-0002-01,validation,SYN-OFFENDER-0002,synthetic
SYN-IN-0002-02,validation,SYN-OFFENDER-0002,synthetic
SYN-IN-0002-03,validation,SYN-OFFENDER-0002,synthetic
SYN-IN-0002-04,validation,SYN-OFFENDER-0002,synthetic
SYN-IN-0002-05,validation,SYN-OFFENDER-0002,synthetic
SYN-IN-0003-00,train,SYN-OFFENDER-0003,synthetic
SYN-IN-0003-01,train,SYN-OFFENDER-0003,synthetic
SYN-IN-0003-02,train,SYN-OFFENDER-0003,synthetic
SYN-IN-0003-03,train,SYN-OFFENDER-0003,synthetic
SYN-IN-0003-04,train,SYN-OFFENDER-0003,synthetic
SYN-IN-0003-05,train,SYN-OFFENDER-0003,synthetic
SYN-IN-0004-00,validation,SYN-OFFENDER-0004,synthetic
SYN-IN-0004-01,validation,SYN-OFFENDER-0004,synthetic
SYN-IN-0004-02,validation,SYN-OFFENDER-0004,synthetic
SYN-IN-0004-03,validation,SYN-OFFENDER-0004,synthetic
SYN-IN-0004-04,validation,SYN-OFFENDER-0004,synthetic
SYN-IN-0004-05,validation,SYN-OFFENDER-0004,synthetic
SYN-IN-0005-00,train,SYN-OFFENDER-0005,synthetic
SYN-IN-0005-01,train,SYN-OFFENDER-0005,synthetic
SYN-IN-0005-02,train,SYN-OFFENDER-0005,synthetic
SYN-IN-0005-03,train,SYN-OFFENDER-0005,synthetic
