case_id,relevant_historical,candidate_recall,mrr,first_rank,recall_at_10,recall_at_50,recall_at_100
SYN-IN-0010-01,1,1.0,0.125,8,1.0,1.0,1.0
SYN-IN-0010-02,3,1.0,1.0,1,1.0,1.0,1.0
SYN-IN-0010-03,2,1.0,1.0,1,1.0,1.0,1.0
SYN-IN-0010-04,4,1.0,1.0,1,0.75,1.0,1.0
SYN-IN-0010-05,5,1.0,1.0,1,0.6,1.0,1.0
SYN-IN-0011-01,2,1.0,1.0,1,1.0,1.0,1.0
SYN-IN-0011-02,3,1.0,1.0,1,1.0,1.0,1.0
SYN-IN-0011-03,4,1.0,1.0,1,1.0,1.0,1.0
SYN-IN-0011-04,5,1.0,1.0,1,1.0,1.0,1.0
SYN-IN-0011-05,1,1.0,1.0,1,1.0,1.0,1.0
SYN-IN-0027-01,1,1.0,1.0,1,1.0,1.0,1.0
SYN-IN-0027-02,3,1.0,1.0,1,1.0,1.0,1.0
SYN-IN-0027-03,4,1.0,1.0,1,1.0,1.0,1.0
SYN-IN-0027-04,2,1.0,1.0,1,1.0,1.0,1.0
SYN-IN-0027-05,5,1.0,1.0,1,1.0,1.0,1.0
SYN-IN-0032-01,1,1.0,0.5,2,1.0,1.0,1.0
SYN-IN-0032-02,2,1.0,1.0,1,1.0,1.0,1.0
SYN-IN-0032-03,4,1.0,1.0,1,0.75,1.0,1.0
SYN-IN-0032-04,5,1.0,1.0,1,0.8,1.0,1.0
SYN-IN-0032-05,3,1.0,1.0,1,1.0,1.0,1.0
SYN-IN-0040-01,1,1.0,1.0,1,1.0,1.0,1.0
SYN-IN-0040-02,2,1.0,1.0,1,1.0,1.0,1.0
SYN-IN-0040-03,4,1.0,1.0,1,1.0,1.0,1.0
SYN-IN-0040-04,5,1.0,1.0,1,0.6,1.0,1.0
SYN-IN-0040-05,3,1.0,1.0,1,1.0,1.0,1.0
SYN-IN-0044-01,1,1.0,1.0,1,1.0,1.0,1.0
SYN-IN-0044-02,2,1.0,1.0,1,1.0,1.0,1.0
SYN-IN-0044-03,3,1.0,1.0,1,1.0,1.0,1.0
SYN-IN-0044-04,4,1.0,1.0,1,1.0,1.0,1.0
SYN-IN-0044-05,5,1.0,1.0,1,1.0,1.0,1.0
SYN-IN-0046-01,1,1.0,1.0,1,1.0,1.0,1.0
SYN-IN-0046-02,2,1.0,1.0,1,1.0,1.0,1.0
SYN-IN-0046-03,4,1.0,1.0,1,1.0,1.0,1.0
SYN-IN-0046-04,3,1.0,1.0,1,0.6666666666666666,1.0,1.0
SYN-IN-0046-05,5,1.0,1.0,1,0.8,1.0,1.0
SYN-IN-0061-01,1,1.0,1.0,1,1.0,1.0,1.0
SYN-IN-0061-02,2,1.0,1.0,1,1.0,1.0,1.0
SYN-IN-0061-03,4,1.0,1.0,1,1.0,1.0,1.0
SYN-IN-0061-04,3,1.0,1.0,1,1.0,1.0,1.0
SYN-IN-0061-05,5,1.0,1.0,1,1.0,1.0,1.0
SYN-IN-0062-01,1,1.0,1.0,1,1.0,1.0,1.0
SYN-IN-0062-02,3,1.0,1.0,1,1.0,1.0,1.0
SYN-IN-0062-03,5,1.0,1.0,1,1.0,1.0,1.0
SYN-IN-0062-04,2,1.0,1.0,1,1.0,1.0,1.0
SYN-IN-0062-05,4,1.0,1.0,1,1.0,1.0,1.0
SYN-IN-0063-01,2,1.0,1.0,1,1.0,1.0,1.0
SYN-IN-0063-02,3,1.0,1.0,1,1.0,1.0,1.0
SYN-IN-0063-03,1,1.0,1.0,1,1.0,1.0,1.0
SYN-IN-0063-04,4,1.0,1.0,1,1.0,1.0,1.0
SYN-IN-0063-05,5,1.0,1.0,1,0.4,1.0,1.0
SYN-IN-0068-01,2,1.0,1.0,1,1.0,1.0,1.0
SYN-IN-0068-02,1,1.0,1.0,1,1.0,1.0,1.0
SYN-IN-0068-03,4,1.0,1.0,1,1.0,1.0,1.0
SYN-IN-0068-04,5,1.0,1.0,1,1.0,1.0,1.0
SYN-IN-0068-05,3,1.0,1.0,1,1.0,1.0,1.0
SYN-IN-0076-01,1,1.0,1.0,1,1.0,1.0,1.0
SYN-IN-0076-02,2,1.0,1.0,1,1.0,1.0,1.0
SYN-IN-0076-03,3,1.0,1.0,1,1.0,1.0,1.0
SYN-IN-0076-04,5,1.0,1.0,1,1.0,1.0,1.0
SYN-IN-0076-05,4,1.0,1.0,1,0.5,1.0,1.0
SYN-IN-0094-01,2,1.0,1.0,1,1.0,1.0,1.0
SYN-IN-0094-02,3,1.0,1.0,1,1.0,1.0,1.0
SYN-IN-0094-03,1,1.0,1.0,1,1.0,1.0,1.0
SYN-IN-0094-04,4,1.0,1.0,1,1.0,1.0,1.0
SYN-IN-0094-05,5,1.0,1.0,1,0.8,1.0,1.0
SYN-IN-0097-01,1,1.0,1.0,1,1.0,1.0,1.0
SYN-IN-0097-02,2,1.0,1.0,1,1.0,1.0,1.0
SYN-IN-0097-03,4,1.0,1.0,1,1.0,1.0,1.0
SYN-IN-0097-04,5,1.0,1.0,1,0.8,1.0,1.0
SYN-IN-0097-05,3,1.0,1.0,1,1.0,1.0,1.0
SYN-IN-0103-01,1,1.0,0.5,2,1.0,1.0,1.0
SYN-IN-0103-02,2,1.0,1.0,1,1.0,1.0,1.0
SYN-IN-0103-03,3,1.0,1.0,1,1.0,1.0,1.0
SYN-IN-0103-04,4,1.0,1.0,1,1.0,1.0,1.0
SYN-IN-0103-05,5,1.0,1.0,1,0.8,1.0,1.0
SYN-IN-0105-01,1,1.0,1.0,1,1.0,1.0,1.0
SYN-IN-0105-02,3,1.0,1.0,1,1.0,1.0,1.0
SYN-IN-0105-03,5,1.0,1.0,1,1.0,1.0,1.0
SYN-IN-0105-04,2,1.0,1.0,1,1.0,1.0,1.0
SYN-IN-0105-05,4,1.0,1.0,1,1.0,1.0,1.0
SYN-IN-0106-01,3,1.0,1.0,1,1.0,1.0,1.0
SYN-IN-0106-02,4,1.0,1.0,1,0.75,1.0,1.0
SYN-IN-0106-03,1,1.0,0.3333333333333333,3,1.0,1.0,1.0
SYN-IN-0106-04,5,1.0,1.0,1,0.8,1.0,1.0
SYN-IN-0106-05,2,1.0,1.0,1,1.0,1.0,1.0
SYN-IN-0111-01,1,1.0,1.0,1,1.0,1.0,1.0
SYN-IN-0111-02,2,1.0,1.0,1,1.0,1.0,1.0
SYN-IN-0111-03,3,1.0,1.0,1,1.0,1.0,1.0
SYN-IN-0111-04,4,1.0,1.0,1,1.0,1.0,1.0
SYN-IN-0111-05,5,1.0,1.0,1,0.8,1.0,1.0
SYN-IN-0112-01,1,1.0,1.0,1,1.0,1.0,1.0
SYN-IN-0112-02,3,1.0,1.0,1,1.0,1.0,1.0
SYN-IN-0112-03,4,1.0,1.0,1,1.0,1.0,1.0
SYN-IN-0112-04,2,1.0,1.0,1,1.0,1.0,1.0
SYN-IN-0112-05,5,1.0,0.5,2,0.4,1.0,1.0
SYN-IN-0116-01,3,1.0,1.0,1,1.0,1.0,1.0
SYN-IN-0116-02,4,1.0,1.0,1,1.0,1.0,1.0
SYN-IN-0116-03,5,1.0,1.0,1,1.0,1.0,1.0
SYN-IN-0116-04,1,1.0,1.0,1,1.0,1.0,1.0
SYN-IN-0116-05,2,1.0,1.0,1,1.0,1.0,1.0
